10000; -1861; -5159; 5484.396229
11000; -1999; -5231; 5599.943035
12000; -2141; -5294; 5710.544370
13000; -2281; -5369; 5833.448551
14000; -2411; -5450; 5959.481605
15000; -2547; -5534; 6091.991875
16000; -2677; -5612; 6217.786825
17000; -2812; -5698; 6354.096946
18000; -2946; -5790; 6496.384841
19000; -3075; -5888; 6642.602577
100000; -358; -18667; 18670.432587
200000; 18539; -6086; 19512.404183
300000; -13531; 13495; 19110.284823
400000; -663; -18113; 18125.130013
500000; 16825; -2755; 17049.065957
600000; 7373; 13936; 15766.205155
